frame,hand,joint_id,x,y,z
513,Right,0,0.9106070399284363,0.9067116379737854,1.2200202093026746e-07
513,Right,1,0.8356449604034424,0.9054681062698364,-0.017788957804441452
513,Right,2,0.761874794960022,0.8728379011154175,-0.02854068949818611
513,Right,3,0.7081068754196167,0.8492263555526733,-0.03876541182398796
513,Right,4,0.6608521342277527,0.8454430103302002,-0.04954243451356888
513,Right,5,0.7922618985176086,0.7904707193374634,-0.021220020949840546
513,Right,6,0.7605751156806946,0.7311758399009705,-0.03911732882261276
513,Right,7,0.7363970279693604,0.697756826877594,-0.05335469916462898
513,Right,8,0.7147237658500671,0.667069673538208,-0.06502562016248703
513,Right,9,0.8349672555923462,0.7629315257072449,-0.028596948832273483
513,Right,10,0.8153600692749023,0.6943440437316895,-0.04336599260568619
513,Right,11,0.7977468371391296,0.6522929668426514,-0.0548199824988842
513,Right,12,0.7833139896392822,0.6113574504852295,-0.06574162095785141
513,Right,13,0.8773794770240784,0.7566487789154053,-0.03873181343078613
513,Right,14,0.8703345060348511,0.6804727911949158,-0.060666684061288834
513,Right,15,0.8649435639381409,0.6329593658447266,-0.0703573152422905
513,Right,16,0.8585122227668762,0.58759605884552,-0.0782482847571373
513,Right,17,0.9182947278022766,0.7696083784103394,-0.0498281791806221
513,Right,18,0.9307348728179932,0.7183420658111572,-0.07223756611347198
513,Right,19,0.9396781325340271,0.6822603940963745,-0.07841932773590088
513,Right,20,0.944517195224762,0.6462941765785217,-0.08318717032670975
514,Right,0,0.9014512896537781,0.8637863397598267,4.2261115140718175e-07
514,Right,1,0.8207623958587646,0.8543283343315125,-0.01866774447262287
514,Right,2,0.7440692782402039,0.8196837306022644,-0.02669810876250267
514,Right,3,0.6871079206466675,0.795365571975708,-0.03432735055685043
514,Right,4,0.6402273178100586,0.7846445441246033,-0.04214819520711899
514,Right,5,0.7714061141014099,0.729313850402832,-0.010235642082989216
514,Right,6,0.7385080456733704,0.6714258193969727,-0.024951981380581856
514,Right,7,0.7117894291877747,0.6368741989135742,-0.03814879059791565
514,Right,8,0.6863576769828796,0.6052314639091492,-0.04938682168722153
514,Right,9,0.8095336556434631,0.696601152420044,-0.015408984385430813
514,Right,10,0.7900214195251465,0.6278077960014343,-0.028213679790496826
514,Right,11,0.7718283534049988,0.5842705965042114,-0.041506703943014145
514,Right,12,0.7543635368347168,0.542319655418396,-0.0530417263507843
514,Right,13,0.8487308621406555,0.6838803887367249,-0.024148108437657356
514,Right,14,0.8398314118385315,0.6122912168502808,-0.04368600994348526
514,Right,15,0.8313660025596619,0.5637645721435547,-0.05564499646425247
514,Right,16,0.8206885457038879,0.5175274610519409,-0.06431712210178375
514,Right,17,0.8884286880493164,0.6900280117988586,-0.03412480279803276
514,Right,18,0.8978056907653809,0.6283289194107056,-0.05376371368765831
514,Right,19,0.9043819904327393,0.586607038974762,-0.06084100157022476
514,Right,20,0.9068938493728638,0.5485330820083618,-0.06568686664104462
515,Right,0,0.8803247213363647,0.8227484822273254,4.548637377865816e-07
515,Right,1,0.7986605763435364,0.8054250478744507,-0.010049436241388321
515,Right,2,0.725685179233551,0.7699541449546814,-0.012628773227334023
515,Right,3,0.6719374060630798,0.7466445565223694,-0.016684608533978462
515,Right,4,0.6284183263778687,0.7411640882492065,-0.02135550230741501
515,Right,5,0.7446041107177734,0.666407585144043,0.007504789158701897
515,Right,6,0.708520770072937,0.6108043789863586,-0.0009055357659235597
515,Right,7,0.6817772388458252,0.5763357877731323,-0.01256172452121973
515,Right,8,0.6570066213607788,0.5451986789703369,-0.023077839985489845
515,Right,9,0.7798682451248169,0.631097137928009,-0.00026930044987238944
515,Right,10,0.7538024187088013,0.5566033124923706,-0.005446472205221653
515,Right,11,0.7340497970581055,0.5088334679603577,-0.017874903976917267
515,Right,12,0.7152463793754578,0.46603354811668396,-0.029140884056687355
515,Right,13,0.8186889886856079,0.6162757873535156,-0.011447248980402946
515,Right,14,0.8052418231964111,0.5382295846939087,-0.02312161959707737
515,Right,15,0.7945937514305115,0.4875696897506714,-0.0359061174094677
515,Right,16,0.7816331386566162,0.4438922703266144,-0.04605654999613762
515,Right,17,0.8599532246589661,0.6221899390220642,-0.023574259132146835
515,Right,18,0.8663788437843323,0.5565930008888245,-0.03671994060277939
515,Right,19,0.869647204875946,0.5110718607902527,-0.04285333678126335
515,Right,20,0.8698184490203857,0.4702673554420471,-0.04748912528157234
516,Right,0,0.8562490344047546,0.7459375262260437,4.94360790526116e-07
516,Right,1,0.7814114689826965,0.7359427213668823,-0.01861625537276268
516,Right,2,0.7124999761581421,0.7189376354217529,-0.0320652537047863
516,Right,3,0.6576977968215942,0.7090694308280945,-0.0451151467859745
516,Right,4,0.6129376888275146,0.7057793736457825,-0.05863233655691147
516,Right,5,0.7228503823280334,0.6148055791854858,-0.017978457733988762
516,Right,6,0.6820531487464905,0.5578537583351135,-0.03588930889964104
516,Right,7,0.6529248356819153,0.5210034251213074,-0.0515909381210804
516,Right,8,0.6276939511299133,0.4867996573448181,-0.06373565644025803
